"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Achampet,82,SC,Mahbubnagar,Guvvala Balaraju,Telangana Rashtra Samithi,199999,173833,86.9 %,9114,5.2%
Adilabad,7,GEN,Adilabad,Jogu Ramanna,Telangana Rashtra Samithi,186348,164644,88.4 %,26606,16.2%
Alair,97,GEN,Nalgonda,Gongidi Suneetha,Telangana Rashtra Samithi,192588,190016,98.7 %,33086,17.4%
Alampur,80,SC,Mahbubnagar,Abraham V.M.,Telangana Rashtra Samithi,202250,176191,87.1 %,44679,25.4%
Amberpet,59,GEN,Hyderabad,Kaleru  Venkatesham,Telangana Rashtra Samithi,253158,132977,52.5 %,1016,0.8%
Andole,36,SC,Medak,Kranthi Kiran Chanti,Telangana Rashtra Samithi,187233,196610,105.0 %,16465,8.4%
Armur,11,GEN,Nizamabad,Ashannagari Jeevan Reddy,Telangana Rashtra Samithi,157180,138740,88.3 %,28795,20.8%
Asifabad,5,ST,Adilabad,Athram Sakku,Indian National Congress,169294,158075,93.4 %,171,0.1%
Aswaraopeta,118,ST,Khammam,Mecha Nageswara Rao,Telugu Desam,127544,124747,97.8 %,13117,10.5%
Bahadurpura,69,GEN,Hyderabad,Mohd. Moazam Khan,All India Majlis-E-Ittehadul Muslimeen,266332,129394,48.6 %,82518,63.8%
Balkonda,19,GEN,Nizamabad,Vemula Prashanth Reddy,Telangana Rashtra Samithi,177673,152965,86.1 %,32408,21.2%
Banswada,14,GEN,Nizamabad,Pocharam Srinivas Reddy (PARIGE),Telangana Rashtra Samithi,150444,144242,95.9 %,18485,12.8%
Bellampalli,3,SC,Adilabad,Durgam Chinnaiah,Telangana Rashtra Samithi,137893,124903,90.6 %,11276,9.0%
Bhadrachalam,119,ST,Khammam,Podem Veeraiah,Indian National Congress,124158,108339,87.3 %,11785,10.9%
Bhongir,94,GEN,Nalgonda,Pailla Shekar Reddy,Telangana Rashtra Samithi,172996,171884,99.4 %,24063,14.0%
Bhupalpalle,108,GEN,Warangal,Gandra Venkata Ramana Reddy,Indian National Congress,231127,207342,89.7 %,15635,7.5%
Boath,8,ST,Adilabad,Bapu Rao Rathod,Telangana Rashtra Samithi,166315,154487,92.9 %,6486,4.2%
Bodhan,12,GEN,Nizamabad,Shakil Aamir Mohammed,Telangana Rashtra Samithi,167250,157008,93.9 %,8101,5.2%
Chandrayangutta,67,GEN,Hyderabad,Akbaruddin Owaisi,All India Majlis-E-Ittehadul Muslimeen,293680,139281,47.4 %,80264,57.6%
Charminar,66,GEN,Hyderabad,Mumtaz Ahmed Khan,All India Majlis-E-Ittehadul Muslimeen,200410,100235,50.0 %,32586,32.5%
Chennur,2,SC,Adilabad,Balka Suman,Telangana Rashtra Samithi,149679,133529,89.2 %,28132,21.1%
Chevella,53,SC,Rangareddi,Kale Yadaiah,Telangana Rashtra Samithi,214119,175728,82.1 %,33552,19.1%
Choppadandi,27,SC,Karimnagar,Ravi Shankar Sunke,Telangana Rashtra Samithi,179949,167114,92.9 %,42127,25.2%
Devarakonda,86,ST,Nalgonda,Ramavath Ravindra Kumar,Telangana Rashtra Samithi,179277,183889,102.6 %,38848,21.1%
Devarkadra,76,GEN,Mahbubnagar,Alla Venkateswar Reddy,Telangana Rashtra Samithi,182330,171721,94.2 %,35248,20.5%
Dharmapuri,22,SC,Karimnagar,Eshwar Koppula,Telangana Rashtra Samithi,187266,163147,87.1 %,441,0.3%
Dornakal,101,ST,Warangal,Dharam Soth Redya Naik,Telangana Rashtra Samithi,173345,172040,99.2 %,17381,10.1%
Dubbak,41,GEN,Medak,Solipeta Ramalinga Reddy,Telangana Rashtra Samithi,174686,163401,93.5 %,62500,38.2%
Gadwal,79,GEN,Mahbubnagar,Bandla Krishna Mohan Reddy,Telangana Rashtra Samithi,204500,189873,92.8 %,28260,14.9%
Gajwel,42,GEN,Medak,Kalvakuntla Chandrashekar Rao,Telangana Rashtra Samithi,207622,205896,99.2 %,58290,28.3%
Ghanpur (Station),99,SC,Warangal,Dr. Thatikonda Rajaiah,Telangana Rashtra Samithi,213242,195403,91.6 %,35790,18.3%
Goshamahal,65,GEN,Hyderabad,T. Raja Singh,Bharatiya Janta Party,279665,136202,48.7 %,17734,13.0%
Husnabad,32,GEN,Karimnagar,Satish Kumar Voditela,Telangana Rashtra Samithi,196850,183285,93.1 %,70530,38.5%
Huzurabad,31,GEN,Karimnagar,Eatala Rajendar,Telangana Rashtra Samithi,182084,173808,95.5 %,43719,25.2%
Huzurnagar,89,GEN,Nalgonda,Uttam Kumar Reddy Nalamada,Indian National Congress,198512,192844,97.1 %,7466,3.9%
Ibrahimpatnam,48,GEN,Rangareddi,Manchireddy Kishan Reddy,Telangana Rashtra Samithi,245070,195700,79.9 %,376,0.2%
Jadcherla,75,GEN,Mahbubnagar,Charlakola Laxma Reddy,Telangana Rashtra Samithi,172738,159365,92.3 %,45082,28.3%
Jagtial,21,GEN,Karimnagar,M.Sanjay Kumar,Telangana Rashtra Samithi,174856,158010,90.4 %,61185,38.7%
Jangoan,98,GEN,Warangal,Muthireddy Yadagiri Reddy,Telangana Rashtra Samithi,183069,178852,97.7 %,29568,16.5%
Jubilee Hills,61,GEN,Hyderabad,Maganti Gopinath,Telangana Rashtra Samithi,329912,154148,46.7 %,16004,10.4%
Jukkal,13,SC,Nizamabad,Hanmanth Shinde,Telangana Rashtra Samithi,156317,149546,95.7 %,35625,23.8%
